集数,场景号,镜头号,类型,时长,地点,时间,内外,人物,画面,动作,运镜,说话人,台词,情绪,表演提示,BGM,音效,氛围
3,1,1,特写,3 秒,胶囊公寓,黄昏,内,楚烨,楚烨的胸口。灰白皮肤与蓝色条形码交汇处，银灰色纹路如活物般剧烈涌动。,楚烨猛地从床沿站起，身体因剧痛而摇晃。,固定,系统,基因排异指数：28.6%。倒计时：68小时。,机械,,低频嗡鸣,"心跳声加剧, 系统提示音",压抑，痛苦
3,1,2,中景,4 秒,胶囊公寓,黄昏,内,楚烨,楚烨艰难地穿上深灰色高领衫，左肩衣物洇开一小片暗红血迹。,楚烨咬紧牙关，手指微微颤抖地整理衣领。,固定,,,,,压抑弦乐,"衣物摩擦声, 压抑的呼吸声",压抑，痛苦
3,1,3,特写,4 秒,胶囊公寓,黄昏,内,楚烨,楚烨卷起裤脚，露出小腿内侧。三支注射器被胶带固定，液体颜色分明。,楚烨用手指依次确认三支注射器的位置。,推镜头,楚烨,临界点…备用…最后手段。,决绝,低声自语,紧张弦乐,手指摩擦皮肤声,压抑，痛苦
3,1,4,中景,3 秒,胶囊公寓,黄昏,内,楚烨,楚烨从内袋取出一个黑色小装置，检查指示灯。,楚烨确认信号屏蔽器正常，将其塞回口袋。,固定,,,,,持续,装置轻微启动声,压抑，痛苦
3,1,5,远景,4 秒,胶囊公寓,黄昏,内,楚烨,楚烨拉开门，步入悬骨区黄昏的雨幕和霓虹中，背影决绝。,楚烨头也不回地离开公寓。,拉镜头,,,,,转悬疑,"关门声, 远处雨声和霓虹电流声",压抑，痛苦
3,2,6,中景,4 秒,B-12层走廊/第三诊室门口,夜,内,楚烨,楚烨走在狭窄冰冷的走廊，墙壁泛着银色光泽，空气中弥漫消毒水味。,楚烨步伐看似稳健，但呼吸短促浅快。,跟随摇镜头,,,,,冰冷电子音,"空旷的脚步声, 细微的呼吸声",冰冷，压抑
3,2,7,中景,3 秒,B-12层走廊/第三诊室门口,夜,内,楚烨,楚烨停在第三诊室门口，磨砂玻璃门透出昏黄灯光。,楚烨深吸一口气，调整呼吸，眼神变得锐利。,固定,,,,,心跳声渐强,,冰冷，压抑
3,3,8,中景,3 秒,第三诊室内,夜,内,"楚烨, 白黎",白黎站在检查台旁，白大褂一尘不染，面带职业微笑。,白黎示意楚烨躺上检查台。,固定,白黎,准时。请躺下。,温和,,转为平静但暗藏危机,,对峙，紧张
3,3,9,特写,2 秒,第三诊室内,夜,内,"楚烨, 白黎",楚烨直视白黎的眼睛，没有动。,楚烨嘴角紧绷。,固定,楚烨,停药十六小时。数据够了吧？,质问,,弦乐微升,,对峙，紧张
3,3,10,双人特写（过肩）,3 秒,第三诊室内,夜,内,"楚烨, 白黎",白黎微笑不变，但眼神深处闪过一丝计算。,白黎轻轻推了下金丝眼镜。,固定,白黎,只是标准流程。,平静,,持续,,对峙，紧张
3,3,11,特写,2 秒,第三诊室内,夜,内,"楚烨, 白黎",楚烨眼神更加锐利。,楚烨向前逼近半步。,推镜头,楚烨,暗网的端粒序列，也是流程？,逼问,,紧张感骤升,轻微吸气声（白黎）,对峙，紧张
3,3,12,特写,2 秒,第三诊室内,夜,内,"楚烨, 白黎",白黎的呼吸出现极其短暂的停滞（0.3秒），随即恢复。,白黎的手指在医药箱上轻敲了一下。,固定,白黎,我不明白你在说什么。,依然平静,语速微不可察地加快,持续,,对峙，紧张
3,3,13,中景,4 秒,第三诊室内,夜,内,"楚烨, 白黎",楚烨不再言语，猛地脱下高领衫，露出上身。灰白皮肤与蓝色条形码交汇，银灰色纹路隐现。,楚烨将衣服扔在一旁，直视白黎。,拉镜头,,,,,悬疑感增强,衣物摩擦声,对峙，紧张
3,3,14,特写,2 秒,第三诊室内,夜,内,"楚烨, 白黎",白黎的目光扫过楚烨的身体，金丝眼镜后瞳孔微微收缩，流露出数据采集的欲望。,白黎的视线在楚烨胸口纹路上停留。,固定,,,,,加入诡异电子音,,对峙，紧张
3,4,15,中景,3 秒,第三诊室内,夜,内,"楚烨, 白黎",楚烨躺在检查台上。白黎手持扫描仪，眉头紧锁。,白黎盯着扫描仪屏幕，手指快速滑动。,摇镜头,白黎,基因底层有异常编码。需要深度扫描。,严肃,语气试探,转为探究性音乐,扫描仪嗡鸣声,惊异，突变
3,4,16,特写,2 秒,第三诊室内,夜,内,"楚烨, 白黎",白黎手中拿着一支装有银色液体的注射器。,白黎展示注射器。,固定,白黎,注射造影剂。安全。,安抚,,持续,,惊异，突变
3,4,17,特写,2 秒,第三诊室内,夜,内,"楚烨, 白黎",楚烨看着注射器，嘴角勾起一丝极淡的弧度。,楚烨微微点头。,固定,楚烨,好。,平静,,音乐暂停一瞬,,惊异，突变
3,4,18,特写,3 秒,第三诊室内,夜,内,"楚烨, 白黎",针头刺入楚烨颈部静脉，银色液体注入。,楚烨眉头微蹙。,推镜头,,,,,诡异音效起,"注射声, 液体流动声",惊异，突变
3,4,19,大特写,3 秒,第三诊室内,夜,内,"楚烨, 白黎",楚烨胸口的银灰色纹路被瞬间激活，剧烈发光、涌动，如活物般蔓延。,楚烨的身体因体内变化而轻微痉挛。,极速推镜头,,,,,激昂、混乱的电子音,"能量涌动声, 扫描仪尖锐警报声",惊异，突变
3,4,20,特写,2 秒,第三诊室内,夜,内,"楚烨, 白黎",白黎盯着扫描仪屏幕，脸上第一次露出震惊和困惑。,白黎的手指停在屏幕上。,固定,白黎,这不可能…,惊异,低声喃喃,持续混乱,警报声持续,惊异，突变
3,5,21,特写,2 秒,第三诊室内,夜,内,"楚烨, 白黎",楚烨表情因剧痛而扭曲，额头渗出冷汗。,楚烨的手猛地攥紧检查台边缘。,晃动镜头（模拟痛感）,,,,,转为激烈、痛苦的主题,"楚烨压抑的闷哼声, 心跳声狂响",剧痛，决断，紧迫
3,5,22,特写,2 秒,第三诊室内,夜,内,"楚烨, 白黎",白黎看向另一台监控屏，上面数字飙升：排异指数 40.3%。,白黎转头急切地对楚烨说。,快速切,白黎,快注射稳定剂！,急促,,持续,监控警报声,剧痛，决断，紧迫
3,5,23,快速特写组合,4 秒,第三诊室内,夜,内,"楚烨, 白黎",1.5秒：楚烨的手迅速伸向小腿。1秒：撕开胶带，拔出第一支注射器（淡青色液体）。1.5秒：针头刺入自己颈部。,楚烨动作果断迅猛，抢在白黎阻止之前完成注射。,快速剪辑，手持跟拍,,,,,节奏加快,"胶带撕裂声, 注射器拔出声, 注射声",剧痛，决断，紧迫
3,5,24,中景,3 秒,第三诊室内,夜,内,"楚烨, 白黎",楚烨注射后，眼神瞬间清明，痛苦神色稍减。他利落地翻身下床。白黎伸手欲拦，但停在半空。,楚烨挡在医药箱和白黎之间。,拉镜头,白黎,让开！你不知道后果！,警告,声音失去部分冷静,转为带有屏蔽感的空灵电子音,世界背景音突然变得遥远模糊,剧痛，决断，紧迫
3,5,25,特写,2 秒,第三诊室内,夜,内,"楚烨, 白黎",楚烨与白黎对视，灰白色的脸上是冰冷的决绝。,楚烨转身冲向门口。,固定,楚烨,我比你知道得多。,坚定,,空灵音持续,,剧痛，决断，紧迫
3,6,26,跟随中景,4 秒,B-12层走廊尽头/B-12-00门前,夜,内,楚烨,楚烨在空旷走廊中奔跑，脚步声回荡。镜头掠过墙壁上“B-12-00”的隐蔽标识。,楚烨奔向走廊尽头一扇无标识的厚重金属门。,跟随摇镜头,楚烨,(内心OS，画外音) 十二分钟。,紧迫,,,,紧迫，神秘
