集数,场景号,镜头号,类型,时长,地点,时间,内外,人物,画面,动作,运镜,说话人,台词,情绪,表演提示,BGM,音效,氛围
4,1,1,特写,3 秒,黑暗虚无空间,无,内,楚烨,楚烨胸口，倒悬玫瑰的银灰色编码剧烈发光，透过深灰色高领衫。,楚烨踉跄向前，嘴角溢血。,固定,,,,,空灵、压迫的电子音,"沉重的呼吸声, 心跳声",压抑、神秘
4,1,2,中景,4 秒,黑暗虚无空间,无,内,楚烨,黑暗中，楚烨走向远处一块幽蓝色的悬浮屏幕。周围浮现无数幽蓝色细丝。,楚烨步履艰难，每一步都强忍痛苦。,跟随楚烨缓慢前推,系统音,欢迎回来，SY-0001。你迟到了二十三年。,冰冷,非人声，机械合成音,空灵、压迫的电子音,"沉重的脚步声, 服务器嗡鸣声",压抑、神秘
4,1,3,特写,4 秒,黑暗虚无空间,无,内,楚烨,幽蓝色屏幕上，原始代码瀑布般倾泻。显示“SY-0001 - 种子”。,楚烨瞳孔骤缩，死死盯着屏幕。,固定,,,,,紧张弦乐渐起,"代码刷新声, 急促的呼吸声",压抑、神秘
4,1,4,特写,3 秒,黑暗虚无空间,无,内,楚烨,楚烨的手颤抖着伸向屏幕。,指尖触碰屏幕边缘。,缓慢推近,,,,,紧张弦乐,电流声,压抑、神秘
4,2,5,快速蒙太奇,3 秒,数据深渊/1999年实验室,无,内,"楚烨, SY-0000",快速闪现：淡绿色培养舱，悬浮的胚胎，机械臂烙印蓝色条形码。,画面快速切换。,快速切换,,,,,紧张、混乱的电子音,"机械臂运转声, 液体冒泡声",惊骇、诡异
4,2,6,特写,2 秒,数据深渊/1999年实验室,无,内,"楚烨, SY-0000",特写：胚胎锁骨下的蓝色条形码，清晰显示“SY-0001”。,画面定格。,固定,,,,,紧张弦乐,尖锐的提示音,惊骇、诡异
4,2,7,中景,5 秒,数据深渊/1999年实验室,无,内,"楚烨, SY-0000",数据流退去，角落出现一个被幽蓝数据链贯穿的人影（SY-0000）。胸口是灰黑色的枯萎玫瑰。,SY-0000抬起头，银灰色的眼睛看向楚烨。,从楚烨摇向SY-0000,SY-0000,你终于看到了。,疲惫、悲悯,声音直接在脑海中响起,诡异、空灵,数据链流动声,惊骇、诡异
4,2,8,中景,3 秒,数据深渊/1999年实验室,无,内,"楚烨, SY-0000",楚烨咬牙，眼神锐利。,楚烨强忍剧痛，站直身体。,固定,楚烨,你是谁？,沙哑、警惕,,诡异、空灵,楚烨粗重的呼吸声,惊骇、诡异
4,2,9,中景,6 秒,数据深渊/1999年实验室,无,内,"楚烨, SY-0000",SY-0000的身影闪烁。,SY-0000微微抬头。,缓慢推近SY-0000,SY-0000,SY-0000，初代废品。而你，是完美的备份盘。,麻木,声音在脑海回荡,诡异、空灵,数据链闪烁声,惊骇、诡异
4,3,10,特写,3 秒,数据深渊,无,内,"楚烨, SY-0000",楚烨眼神震惊，闪过沈清冷和白黎的画面残影。,楚烨的手猛地握紧。,固定,,,,,紧张弦乐加剧,心跳声加快,愤怒、绝望
4,3,11,中景,5 秒,数据深渊,无,内,"楚烨, SY-0000",SY-0000的数据链微微晃动。,SY-0000平静地叙述。,固定,SY-0000,极致的情感，是催熟端粒的肥料。爱和痛，都是养料。,陈述事实,声音在脑海回荡,紧张弦乐,数据流声,愤怒、绝望
