集数,场景号,镜头号,类型,时长,地点,时间,内外,人物,画面,动作,运镜,说话人,台词,情绪,表演提示,BGM,音效,氛围
2,1,1,中景,4 秒,胶囊公寓,凌晨,内,楚烨,楚烨猛地从床上坐起，额头渗出冷汗，呼吸急促。,他痛苦地捂住胸口，剧烈咳嗽，咳出几点血沫溅在床单上。,固定,,,,,低沉、不祥的电子音效,"急促喘息声, 微弱咳血声",痛苦、压抑
2,1,2,特写,3 秒,胶囊公寓,凌晨,内,楚烨,镜中映出楚烨苍白、憔悴的脸。灰白色的诡异纹路正从他的颈部向脸颊蔓延。,楚烨抬起手，指尖颤抖着触碰镜中自己脸上的纹路。,固定,,,,,持续的低频音效,指尖划过镜面的细微声,痛苦、压抑
2,1,3,特写,2 秒,胶囊公寓,凌晨,内,楚烨,楚烨的视野右下角，系统提示面板弹出，红色数字刺眼。,楚烨瞳孔微缩，盯着眼前的空气。,固定,系统提示音,基因排异指数：21.3%...仍在持续上升。,冰冷、机械,电子合成音,同上,系统提示音,痛苦、压抑
2,1,4,特写,3 秒,胶囊公寓,凌晨,内,楚烨,楚烨的手缓缓攥紧床单，指节因用力而发白。,他深吸一口气，强忍痛苦，眼神从涣散逐渐聚焦，变得异常冷静。,缓慢推近,,,,,音效转为更紧张、带有决心感的弦乐,床单摩擦声,痛苦、压抑
2,2,5,中景,3 秒,胶囊公寓,凌晨,内,楚烨,楚烨卷起裤腿，露出小腿内侧。,他用手指摸索，从皮肤上撕下一段黑色胶带。,固定,,,,,紧张、悬疑,撕扯胶带声,警惕、决断
2,2,6,特写,3 秒,胶囊公寓,凌晨,内,楚烨,三支没有标签、装着淡青色液体的注射器，被胶带整齐地绑在一起。,楚烨用手指一一确认注射器的完整性，动作仔细而慎重。,固定,,,,,同上,手指轻触玻璃管的细微声,警惕、决断
2,2,7,中景,2 秒,胶囊公寓,凌晨,内,楚烨,楚烨将裤腿放下，遮住注射器。,他动作利落，重新系好鞋带。,固定,,,,,同上,布料摩擦声,警惕、决断
2,2,8,特写,2 秒,胶囊公寓,凌晨,内,楚烨,胶囊公寓的终端屏幕亮起，一条新消息弹出。发件人：白黎。,楚烨的视线落在屏幕上。,固定,,,,,音效变得尖锐,消息提示音,警惕、决断
2,2,9,特写,3 秒,胶囊公寓,凌晨,内,楚烨,消息内容清晰显示：“明晚19:00，B-12层第三诊室，请准时到达。记得停药。”,楚烨盯着“记得停药”四个字，嘴角扯出一个极淡的冷笑。,固定,,,,,阴冷、算计的氛围音乐,,警惕、决断
2,3,10,特写,2 秒,胶囊公寓,凌晨,内,楚烨,楚烨的视野中央，一个半透明的生存点数面板弹出。,楚烨面无表情地看着面板。,固定,,,,,紧迫的倒计时音效,系统界面弹出音,紧迫、冷静
